3.9 - 59.6,63.1 - 79.7,79.9 - 94.3,96.4 - 109.5,116.4 - 55.7,158.5 - 257.2,261.6 - 5398
3.99,63.13,79.9,96.4,116.4,158.52,261.67
5.52,65.94,81.62,96.98,117.92,160.52,263.58
25.25,67.45,83.32,97.66,119.53,174.45,282.67
29.21,69.52,84.93,101.47,127.07,209.17,288.88
31.14,70.96,85.73,104.94,128.06,212.06,312.62
33.61,72.54,86.14,105.96,132.83,213.38,321.05
46.23,73.39,86.43,107.76,135.23,229.54,340.51
46.97,74.52,88.94,108.04,154.74,236.84,360.13
51.48,76.53,92.9,108.28,155.37,256.5,377
59.66,79.5,94.37,109.56,155.74,257.21,5398
